16	1	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f	%.0f
800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140000	3	2	12	10	20	1	100000	100000	2000	1000	2000	10000	10000 1000 	100	1
96749	0.0	0.2	0.3	0.2	0.5	0.0	0.5312	0.9411	0.603	0.582	0.795	0.7034	0.3588	0.345	0.0	0.48	0.20	0.68
96749	0.0	0.1	0.3	0.1	0.13	0.1	0.4412	0.8070	0.711	0.678	0.926	0.6937	0.3478	0.346	0.1	0.55	0.7	0.63
96749	0.0	0.1	0.3	0.1	0.2	0.1	0.98816	0.125026	0.11452	0.11328	0.18115	0.16682	0.10336	0.1356	0.10	0.197	0.21	0.228
96749	0.0	0.1	0.3	0.7	0.10	0.1	0.7220	0.12735	0.2348	0.2300	0.3311	0.9837	0.5296	0.642	0.6	0.88	0.24	0.118
96749	0.0	0.1	0.3	0.7	0.5	0.1	0.14320	0.21958	0.1850	0.1819	0.2170	0.9579	0.4664	0.413	0.2	0.59	0.6	0.67
93684	0.0	0.1	0.2	0.6	0.13	0.1	0.27056	0.162816	0.2299	0.2127	0.2737	0.160270	0.25424	0.1146	0.6	0.234	0.26	0.266
93577	0.0	0.1	0.2	0.6	0.6	0.0	0.20528	0.33000	0.1876	0.1800	0.2654	0.14636	0.7632	0.656	0.3	0.148	0.21	0.172
93470	0.0	0.1	0.2	0.5	0.12	0.0	0.6416	0.11459	0.1362	0.1313	0.1652	0.9122	0.4716	0.497	0.0	0.96	0.29	0.125
93363	0.0	0.1	0.2	0.5	0.6	0.0	0.5786	0.10634	0.1237	0.1218	0.1526	0.9103	0.4764	0.483	0.4	0.49	0.15	0.68
93256	0.0	0.3	0.2	0.4	0.12	0.0	0.5878	0.10508	0.1132	0.1087	0.1380	0.8471	0.4528	0.446	0.3	0.98	0.27	0.128
93149	0.0	0.3	0.2	0.4	0.3	0.0	0.9528	0.16535	0.1383	0.1288	0.1834	0.11276	0.6260	0.630	0.14	0.198	0.70	0.282
93042	0.0	0.3	0.2	0.3	0.13	0.0	0.8500	0.14157	0.1095	0.1029	0.1422	0.9670	0.5640	0.465	0.5	0.159	0.53	0.217
92935	0.0	0.1	0.2	0.3	0.9	0.1	0.3796	0.6737	0.949	0.940	0.1192	0.5249	0.2694	0.398	0.1	0.22	0.6	0.29
92828	0.0	0.1	0.2	0.3	0.6	0.0	0.28128	0.42940	0.2283	0.2190	0.3400	0.9183	0.4560	0.621	0.6	0.154	0.18	0.178
92721	0.0	0.3	0.2	0.2	0.13	0.0	0.7228	0.12627	0.1239	0.1189	0.1612	0.9781	0.5348	0.606	0.5	0.128	0.32	0.165
92614	0.0	0.2	0.2	0.2	0.3	0.1	0.5290	0.9100	0.1053	0.994	0.1326	0.6285	0.3578	0.441	0.2	0.129	0.32	0.163
92507	0.0	0.3	0.2	0.1	0.13	0.0	0.55520	0.665792	0.4544	0.3586	0.6624	0.648611	0.47488	0.3430	0.146	0.1546	0.181	0.1873
92400	0.0	0.1	0.2	0.1	0.4	0.0	0.5880	0.10115	0.1291	0.1264	0.1878	0.8536	0.4884	0.706	0.5	0.79	0.11	0.95
92293	0.0	0.3	0.2	0.7	0.13	0.1	0.10040	0.17029	0.1429	0.1346	0.2022	0.11744	0.6964	0.742	0.19	0.214	0.78	0.311
92186	0.0	0.3	0.2	0.7	0.2	0.1	0.153536	0.497910	0.1713	0.1633	0.2493	0.8907	0.5696	0.593	0.8	0.134	0.34	0.176
92079	0.0	0.1	0.2	0.6	0.13	0.0	0.158208	0.453213	0.2482	0.2319	0.3412	0.81938	0.20608	0.1034	0.9	0.268	0.36	0.313
91972	0.0	0.3	0.2	0.6	0.3	0.0	0.6484	0.10832	0.1166	0.1115	0.1441	0.7316	0.4280	0.583	0.4	0.128	0.38	0.170
91865	0.0	0.2	0.2	0.5	0.13	0.1	0.4840	0.7466	0.949	0.923	0.1116	0.5362	0.3370	0.447	0.3	0.47	0.21	0.71
91758	0.0	0.2	0.2	0.5	0.3	0.1	0.15880	0.51571	0.1188	0.1071	0.1410	0.47976	0.13560	0.677	0.1	0.200	0.37	0.238
91651	0.0	0.1	0.2	0.4	0.12	0.0	0.15288	0.31467	0.1573	0.1401	0.2110	0.28247	0.13312	0.1052	0.5	0.264	0.36	0.305
91544	0.0	0.3	0.2	0.4	0.3	0.0	0.9528	0.16779	0.1245	0.1175	0.1725	0.11885	0.6672	0.729	0.10	0.193	0.61	0.264
91437	0.3	0.1	0.2	0.3	0.13	0.0	0.9356	0.14986	0.448	0.381	0.505	0.13919	0.8460	0.392	0.4	0.114	0.13	0.131
91330	0.0	0.3	0.2	0.3	0.3	0.0	0.7732	0.13264	0.1066	0.1002	0.1336	0.8753	0.4880	0.570	0.7	0.160	0.57	0.224
91223	0.0	0.1	0.2	0.2	0.13	0.0	0.5240	0.8893	0.857	0.837	0.1020	0.7420	0.4232	0.466	0.0	0.46	0.15	0.61
91116	0.0	0.3	0.2	0.2	0.4	0.1	0.7132	0.12060	0.1004	0.944	0.1226	0.8294	0.4736	0.576	0.4	0.136	0.42	0.182
91009	0.0	0.1	0.2	0.1	0.12	0.0	0.21928	0.39641	0.1512	0.1479	0.1837	0.6338	0.3672	0.497	0.0	0.73	0.13	0.86
