16	1	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f	%.2f
800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139441	0	2	12	4	3	0	2752	5091	178	109	159	3078	1640	119	4	0
139441	1	2	12	3	10	0	10460	19057	1457	1361	1674	11710	6112	1108	5	1
139441	0	3	12	3	3	0	2413	4373	177	113	154	2812	1503	132	0	0
139441	0	2	12	2	10	1	50128	87991	2211	790	1119	61027	32048	1386	58	1
139441	0	2	12	2	3	0	7244	13594	671	410	580	6228	3200	396	19	1
139441	1	2	12	1	9	0	10472	20849	1191	1073	1389	16034	7852	1016	1	1
139441	0	3	12	1	3	1	11692	19479	481	265	364	15432	9328	379	3	1
139441	0	3	12	7	9	1	13720	24137	537	232	305	19728	11056	422	0	1
139441	1	2	12	7	3	0	11844	22538	1530	1407	1692	15220	7912	1250	0	1
139441	0	3	12	6	10	0	4694	8668	280	183	250	4309	2324	199	3	1
139441	1	2	12	5	10	0	21744	42334	4258	4100	4540	37849	18952	3798	0	1
86909	3	1	1	6	4	0	39600	7927	572	496	581	12522	8176	167	1	0
86909	0	3	1	5	13	0	5536	8745	1141	1099	1461	5225	3098	483	1	0
86909	0	3	1	5	4	0	6056	10325	1117	1078	1427	6823	3788	487	7	0
86909	0	2	1	4	11	0	11484	20696	1762	1635	2741	8774	5124	722	56	1
86491	3	1	1	4	4	1	4938	7910	66	63	70	6625	3804	59	0	0
86491	0	3	1	3	10	0	66784	9456	2969	2833	3645	17809	11328	801	3	1
86491	0	2	1	3	3	0	5526	8779	1096	1058	1399	5732	3412	453	2	0
86491	0	3	1	2	7	0	5040	8367	1062	1023	1348	5485	3068	437	2	0
86491	3	1	1	2	2	0	5168	8371	66	59	71	7041	3996	58	0	0
85979	0	3	1	1	12	0	5034	8030	1020	993	1243	5340	3094	440	2	0
85979	0	3	1	1	2	0	4908	7491	957	937	1153	4642	2842	393	1	0
85979	0	3	1	7	10	0	9700	17442	1407	1271	2007	8872	4876	660	21	1
85979	0	3	1	7	2	0	4800	7754	975	938	1278	4932	2820	432	1	0
85979	0	3	1	6	11	0	5280	8703	951	911	1237	5757	3300	431	1	0
85979	0	3	1	6	3	1	6184	10228	956	901	1140	6085	3502	437	1	1
85979	3	1	1	5	11	0	45920	5808	753	655	763	15766	10720	220	0	1
85093	0	3	1	1	2	0	8412	13960	1179	1111	1632	8632	5348	699	17	1
85093	0	3	1	7	10	0	5400	9218	810	756	1003	5654	3230	422	10	1
85093	0	3	1	7	2	0	4684	7536	733	708	985	4750	2876	392	5	0
81370	0	2	1	5	8	0	3480	6229	537	508	687	3961	2104	301	0	0
81370	0	1	1	5	2	0	3778	7216	625	572	795	4742	2388	363	4	0
